Event,Suburb,PreRent,PostRent,Diff
International Student Cap Announcement,Box Hill,566.25,600.0,33.75
International Student Cap Announcement,Brighton,762.5,727.75,-34.75
International Student Cap Announcement,Brighton East,825.0,833.25,8.25
International Student Cap Announcement,Brunswick,552.5,591.25,38.75
International Student Cap Announcement,Carlton North,672.5,712.5,40.0
International Student Cap Announcement,Carnegie,508.75,552.5,43.75
International Student Cap Announcement,Castlemaine,437.5,461.25,23.75
International Student Cap Announcement,Caulfield,585.0,646.25,61.25
International Student Cap Announcement,Cheltenham,560.0,610.0,50.0
International Student Cap Announcement,Clayton,535.0,596.25,61.25
International Student Cap Announcement,Corio,375.0,393.75,18.75
International Student Cap Announcement,Craigieburn,472.5,518.25,45.75
International Student Cap Announcement,Cranbourne,516.25,573.75,57.5
International Student Cap Announcement,Dandenong,435.0,517.5,82.5
International Student Cap Announcement,East Melbourne,592.5,621.0,28.5
International Student Cap Announcement,Echuca,435.0,450.0,15.0
International Student Cap Announcement,Elsternwick,545.0,588.25,43.25
International Student Cap Announcement,Elwood,532.5,577.5,45.0
International Student Cap Announcement,Essendon,491.25,542.5,51.25
International Student Cap Announcement,Ferntree Gully,517.5,577.5,60.0
International Student Cap Announcement,Fitzroy,633.75,683.75,50.0
International Student Cap Announcement,Footscray,477.5,520.0,42.5
International Student Cap Announcement,Frankston,481.75,525.0,43.25
International Student Cap Announcement,Hamilton,341.25,350.75,9.5
International Student Cap Announcement,Hawthorn,506.0,530.0,24.0
International Student Cap Announcement,Horsham,365.0,380.0,15.0
International Student Cap Announcement,Keilor,550.0,624.5,74.5
International Student Cap Announcement,Kew,626.25,675.75,49.5
International Student Cap Announcement,Lara,510.0,540.0,30.0
International Student Cap Announcement,Malvern,582.5,605.0,22.5
International Student Cap Announcement,Malvern East,558.75,605.0,46.25
International Student Cap Announcement,Melton,413.75,450.0,36.25
International Student Cap Announcement,Mildura,387.5,435.0,47.5
International Student Cap Announcement,Morwell,342.5,360.0,17.5
International Student Cap Announcement,Mount Waverley,625.0,662.5,37.5
International Student Cap Announcement,Noble Park,448.25,503.75,55.5
International Student Cap Announcement,North Bendigo,435.0,457.5,22.5
International Student Cap Announcement,North Geelong,447.5,471.25,23.75
International Student Cap Announcement,Northcote,582.0,630.0,48.0
International Student Cap Announcement,Pakenham,475.0,525.0,50.0
International Student Cap Announcement,Port Melbourne,686.25,738.75,52.5
International Student Cap Announcement,Portland,400.0,402.5,2.5
International Student Cap Announcement,Preston,495.0,537.5,42.5
International Student Cap Announcement,Reservoir,457.5,511.25,53.75
International Student Cap Announcement,Ringwood,495.0,551.0,56.0
International Student Cap Announcement,Rowville,567.5,635.0,67.5
International Student Cap Announcement,Seymour,386.25,400.0,13.75
International Student Cap Announcement,Shepparton,397.5,440.0,42.5
International Student Cap Announcement,South Melbourne,606.25,645.0,38.75
International Student Cap Announcement,South Yarra,573.75,600.0,26.25
International Student Cap Announcement,Springvale,495.75,550.0,54.25
International Student Cap Announcement,St Kilda,490.25,550.0,59.75
International Student Cap Announcement,Sunbury,460.0,501.25,41.25
International Student Cap Announcement,Sunshine,425.0,468.75,43.75
International Student Cap Announcement,Swan Hill,357.5,385.0,27.5
International Student Cap Announcement,Sydenham,462.5,500.0,37.5
International Student Cap Announcement,Thornbury,493.25,527.0,33.75
International Student Cap Announcement,Toorak,618.75,657.5,38.75
International Student Cap Announcement,Torquay,633.25,652.5,19.25
International Student Cap Announcement,Traralgon,403.75,435.0,31.25
